V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,,
1,1,1,1,0.99902296,1,0.999389574,0.999694806,0.999694815,0.999465934,,
1,1,0.996086106,0.999022483,1,0.999023199,0.99975583,0.999511689,0.999481185,0.999588006,,
1,1,1,1,0.99951148,0.999267399,0.999511659,0.99945065,0.999572741,0.999649042,,
1,1,0.998043053,1,1,0.999267399,0.999511659,0.999694806,0.999603259,0.999557488,,
1,1,0.996086106,1,1,0.999267399,0.999267489,0.999389611,0.999481185,0.99952697,,
1,0.996078431,1,1,1,0.999267399,0.999389574,0.999511689,0.999542222,0.999649042,,
1,1,0.998043053,0.999022483,0.99951148,0.9995116,0.999389574,0.999816883,0.999664296,0.999450675,,
0.992125984,1,1,0.998044966,1,0.9995116,0.999877915,0.999633767,0.999542222,0.99952697,,
1,1,1,1,0.99951148,0.998778999,0.999633744,0.999694806,0.999511704,0.999633783,,
1,1,0.998043053,1,0.99951148,0.999267399,0.99975583,0.999572728,0.999572741,0.999557488,,
1,1,1,1,0.99951148,0.999267399,0.999511659,0.999694806,0.999694815,0.999572747,,
1,1,1,1,0.99951148,1,0.999267489,0.999572728,0.999511704,0.999588006,,
1,1,1,1,1,0.9995116,0.999877915,0.999084417,0.99938963,0.999465934,,
1,1,1,0.999022483,0.99951148,0.9995116,0.99975583,0.999572728,0.999664296,0.999679561,,
1,1,1,1,1,0.9995116,0.999633744,0.999389611,0.99938963,0.999603265,,
1,1,1,0.999022483,0.99902296,0.9995116,0.999267489,0.999511689,0.999511704,0.999603265,,
1,0.996078431,0.998043053,0.998044966,0.998534441,0.999267399,0.999389574,0.999389611,0.999542222,0.999618524,,
1,1,1,0.999022483,0.998534441,0.9997558,0.999389574,0.999572728,0.999481185,0.999588006,,
1,1,1,0.999022483,0.99902296,0.9997558,0.99975583,0.999633767,0.999694815,0.999588006,,
1,1,1,1,0.99951148,1,0.999511659,0.999877922,0.999572741,0.999572747,,
1,1,0.998043053,0.999022483,0.99951148,0.999267399,0.999633744,0.999755844,0.999603259,0.999633783,,
1,1,0.998043053,0.999022483,0.99951148,0.999267399,0.999511659,0.999389611,0.99938963,0.999542229,,
1,1,1,1,0.99951148,0.9995116,0.999877915,0.999633767,0.999755852,0.999725338,,
1,1,1,0.998044966,0.998045921,1,0.999511659,0.999755844,0.999450667,0.999572747,,
1,1,1,1,0.998534441,0.9997558,0.99975583,0.99945065,0.999481185,0.999557488,,
1,1,0.998043053,0.999022483,1,0.9995116,0.999877915,0.998962339,0.999359111,0.999465934,,
1,0.996078431,0.998043053,0.999022483,0.99951148,1,0.999633744,0.999694806,0.999603259,0.999557488,,
1,1,1,0.999022483,0.998534441,0.9995116,0.99975583,0.999511689,0.99938963,0.999588006,,
1,1,1,1,0.99902296,0.9995116,0.999511659,0.999389611,0.999633778,0.999588006,,
1,0.996078431,1,1,1,0.9997558,0.999633744,0.999572728,0.999542222,0.999572747,,
1,0.996078431,1,1,0.99902296,0.9997558,0.999511659,0.999694806,0.999511704,0.999481193,,
1,0.996078431,1,0.999022483,0.99902296,1,0.99975583,0.999755844,0.999755852,0.999496452,,
1,1,0.998043053,1,1,1,0.999267489,0.999389611,0.99938963,0.999435416,,
1,1,0.998043053,0.999022483,0.99951148,0.9995116,0.999633744,0.999633767,0.999450667,0.999542229,,
1,1,1,1,0.99951148,0.9997558,0.999511659,0.999633767,0.99938963,0.999542229,,
1,1,0.996086106,1,1,0.9997558,0.999389574,0.999267533,0.999572741,0.999664302,,
1,1,0.998043053,1,1,0.999267399,0.999267489,0.999511689,0.999633778,0.999588006,,
1,1,1,1,0.99902296,0.9995116,0.999633744,0.99945065,0.999664296,0.999725338,,
1,1,0.998043053,0.999022483,1,0.9997558,0.999511659,0.999328572,0.999603259,0.999481193,,
1,1,1,0.999022483,0.99951148,0.9995116,0.999389574,0.999572728,0.999511704,0.999572747,,
1,1,1,1,0.99951148,0.999023199,0.999511659,0.999633767,0.999603259,0.99952697,,
1,1,0.994129159,1,0.99951148,0.9997558,0.999633744,0.999511689,0.999603259,0.999603265,,
1,1,1,0.999022483,0.99951148,0.9997558,0.99975583,0.999511689,0.999481185,0.999557488,,
1,1,1,1,0.99902296,0.9997558,0.999511659,0.999694806,0.999755852,0.999588006,,
0.992125984,0.996078431,0.998043053,1,0.99951148,0.9995116,0.999511659,0.999816883,0.999481185,0.999465934,,
1,1,1,0.999022483,1,1,0.999633744,0.999389611,0.999572741,0.999542229,,
1,1,1,0.999022483,0.99951148,0.9995116,0.999633744,0.999389611,0.999572741,0.999664302,,
1,1,0.998043053,0.998044966,0.99951148,1,0.99975583,0.999755844,0.999542222,0.999603265,,
1,1,1,1,0.99951148,1,0.999389574,0.999389611,0.999542222,0.999572747,,
1,0.996078431,1,0.998044966,0.99902296,0.9997558,1,0.999328572,0.999725333,0.99952697,,
1,1,0.998043053,0.999022483,0.99902296,0.998778999,0.999389574,0.999572728,0.999633778,0.999511711,,
1,1,1,1,0.99902296,0.999267399,0.999389574,0.999694806,0.999572741,0.999465934,,
1,1,1,1,0.99951148,0.998778999,0.999267489,0.999633767,0.999603259,0.999496452,,
1,0.996078431,0.998043053,0.997067449,1,0.9995116,1,0.999816883,0.999603259,0.999588006,,
1,1,0.998043053,1,0.99902296,0.9997558,0.999389574,0.999572728,0.999542222,0.999557488,,
1,1,1,1,0.99951148,0.999267399,0.999389574,0.999511689,0.999603259,0.999450675,,
1,1,1,0.999022483,1,0.998778999,0.999511659,0.999389611,0.999450667,0.999618524,,
1,1,1,0.999022483,1,0.9995116,0.999511659,0.999816883,0.999633778,0.999557488,,
1,1,0.996086106,1,0.99951148,0.9995116,0.999145403,0.99945065,0.999603259,0.999496452,,
1,1,1,1,0.99951148,0.9997558,0.998901233,0.999511689,0.999359111,0.999511711,,
1,1,0.998043053,1,1,0.9997558,0.999023318,0.99945065,0.999481185,0.999633783,,
1,1,1,0.999022483,0.99951148,0.999023199,0.998901233,0.999633767,0.999572741,0.999633783,,
1,1,1,1,0.99902296,0.999267399,0.99975583,0.999572728,0.999572741,0.99952697,,
1,1,1,1,0.99951148,0.9995116,0.999633744,0.999633767,0.999725333,0.999618524,,
1,1,1,0.999022483,0.99902296,0.9995116,0.999267489,0.999694806,0.999603259,0.999557488,,
1,1,1,1,0.99951148,0.999267399,0.999145403,0.999694806,0.999603259,0.999618524,,
1,1,1,1,0.99951148,1,0.999633744,0.999633767,0.999694815,0.999588006,,
1,1,1,1,0.997557401,0.9995116,0.999145403,0.999511689,0.999511704,0.999664302,,
1,1,0.998043053,0.998044966,0.99951148,0.9995116,0.99975583,0.999145456,0.999359111,0.999603265,,
1,1,1,0.999022483,0.99951148,0.9995116,0.999389574,0.999511689,0.999481185,0.999603265,,
1,1,1,1,0.99951148,0.998778999,0.99975583,0.999633767,0.999725333,0.999420157,,
1,1,0.998043053,1,1,0.9997558,0.999145403,0.999694806,0.999511704,0.999572747,,
1,1,1,0.999022483,0.99902296,0.998778999,0.999511659,0.999511689,0.999755852,0.999496452,,
1,1,1,1,1,0.999267399,0.999511659,0.999572728,0.999481185,0.999664302,,
1,1,1,1,0.99902296,0.9995116,0.999267489,0.999694806,0.999267556,0.999588006,,
1,1,0.998043053,0.999022483,0.99951148,0.9995116,0.999633744,0.999389611,0.999511704,0.99952697,,
